AGENCY_ID,PRIMARY_AGENCY_ID,AGENCY_APPOINTMENT_YEAR,ACTIVE_PRODUCERS,VENDOR_IND,VENDOR
3,3,1957,14,N,UNKNOWN
11,99999,1998,56,N,UNKNOWN
12,99999,2005,29,N,UNKNOWN
14,99999,99999,99999,N,UNKNOWN
16,16,1998,45,Y,C
32,99999,1963,49,N,UNKNOWN
36,683,2000,9,Y,A
37,99999,2004,15,N,UNKNOWN
46,46,1985,50,Y,E
61,8365,2008,7,Y,E
84,7651,2008,17,Y,A
87,8497,1986,66,Y,E
93,99999,2001,2,N,UNKNOWN
96,9461,1960,24,Y,E
99,99999,99999,99999,N,UNKNOWN
102,102,2009,13,Y,C
111,99999,1976,8,N,UNKNOWN
123,99999,99999,99999,N,UNKNOWN
125,4357,2012,13,Y,E
130,9687,2013,12,Y,E
134,99999,99999,99999,N,UNKNOWN
148,148,1992,43,Y,C
152,4351,1964,19,N,UNKNOWN
153,99999,2002,5,N,UNKNOWN
156,156,2000,30,Y,A
160,99999,1998,15,N,UNKNOWN
163,351,2012,14,Y,E
164,8843,2006,18,Y,E
166,148,1996,40,Y,C
173,173,1982,10,Y,C
184,184,1978,11,N,UNKNOWN
188,188,1963,12,N,UNKNOWN
204,204,1982,4,N,UNKNOWN
228,99999,1991,4,N,UNKNOWN
237,99999,1997,6,N,UNKNOWN
242,1821,1977,18,Y,G
245,245,2001,98,Y,A
251,99999,1999,14,N,UNKNOWN
257,99999,1989,9,N,UNKNOWN
262,99999,1993,24,N,UNKNOWN
263,99999,1965,16,N,UNKNOWN
265,99999,1996,8,N,UNKNOWN
279,99999,1994,6,N,UNKNOWN
291,291,99999,99999,N,UNKNOWN
292,99999,1986,24,N,UNKNOWN
294,294,1998,9,Y,C
300,99999,99999,99999,N,UNKNOWN
301,301,2005,17,Y,E
303,99999,99999,99999,N,UNKNOWN
307,307,99999,99999,N,UNKNOWN
313,99999,2006,5,N,UNKNOWN
326,326,1993,4,N,UNKNOWN
330,330,2012,26,Y,E
348,99999,99999,99999,N,UNKNOWN
351,351,2007,15,Y,E
356,356,2013,41,Y,E
364,99999,99999,99999,N,UNKNOWN
372,6137,2007,4,Y,C
375,375,1959,26,Y,B
390,99999,2005,22,N,UNKNOWN
394,99999,1999,4,N,UNKNOWN
396,1170,2014,3,N,UNKNOWN
401,5912,1999,11,N,UNKNOWN
408,408,2013,9,Y,E
426,426,99999,99999,N,UNKNOWN
448,4198,2005,17,Y,A
456,456,1997,18,N,UNKNOWN
457,99999,2005,12,N,UNKNOWN
462,462,99999,99999,N,UNKNOWN
463,99999,1990,12,N,UNKNOWN
469,3671,1998,69,Y,E
470,470,1981,10,Y,E
477,477,2012,8,Y,E
483,2938,1974,19,Y,C
506,506,2006,21,N,UNKNOWN
507,99999,2002,16,N,UNKNOWN
512,8497,1985,12,N,UNKNOWN
526,99999,2009,7,N,UNKNOWN
541,99999,1985,20,N,UNKNOWN
543,543,2013,7,Y,E
548,99999,1991,11,N,UNKNOWN
551,99999,99999,99999,N,UNKNOWN
553,553,1999,20,Y,A
562,562,1980,22,Y,A
563,99999,1978,8,N,UNKNOWN
564,1149,2001,15,Y,A
578,8365,1966,15,Y,E
581,2519,2006,28,Y,E
586,586,1961,22,N,UNKNOWN
599,885,2005,6,N,UNKNOWN
600,99999,99999,99999,N,UNKNOWN
604,604,1990,34,Y,A
609,609,2011,10,Y,C
618,99999,2002,10,N,UNKNOWN
620,620,99999,99999,N,UNKNOWN
625,4388,2009,5,N,UNKNOWN
626,7254,1958,31,Y,A
633,4489,2007,14,Y,A
641,99999,1999,10,N,UNKNOWN
643,99999,1970,14,N,UNKNOWN
650,650,1973,11,N,UNKNOWN
652,99999,2006,104,N,UNKNOWN
661,99999,99999,99999,N,UNKNOWN
663,99999,2008,22,N,UNKNOWN
667,99999,2001,10,N,UNKNOWN
668,1315,2007,41,Y,E
678,1297,2007,29,Y,A
683,683,2000,96,Y,A
684,684,1973,3,Y,C
685,99999,1989,18,N,UNKNOWN
690,7985,1965,36,Y,E
692,692,1963,28,Y,E
693,245,1958,59,Y,A
702,702,99999,99999,N,UNKNOWN
703,99999,2007,24,N,UNKNOWN
716,99999,2004,25,N,UNKNOWN
726,99999,1966,6,N,UNKNOWN
754,99999,1983,48,N,UNKNOWN
756,2056,2008,12,Y,A
770,770,1974,12,Y,B
772,9550,1993,301,Y,A
778,4061,1999,38,Y,A
780,99999,2003,22,N,UNKNOWN
787,99999,2003,21,N,UNKNOWN
791,791,2004,12,Y,E
803,99999,2006,11,N,UNKNOWN
805,805,2007,11,Y,A
806,806,1966,12,Y,B
808,886,2005,11,N,UNKNOWN
810,6137,1997,12,Y,C
811,811,1989,91,Y,E
815,99999,99999,99999,N,UNKNOWN
817,2217,1982,9,N,UNKNOWN
831,99999,2012,22,N,UNKNOWN
834,834,1980,9,N,UNKNOWN
847,847,1988,12,Y,A
851,99999,2003,8,N,UNKNOWN
859,859,1979,67,Y,A
864,99999,1979,4,N,UNKNOWN
865,99999,2001,24,N,UNKNOWN
877,1149,1985,19,Y,A
884,884,2003,11,N,UNKNOWN
885,885,2005,6,N,UNKNOWN
886,886,1965,28,N,UNKNOWN
891,9198,2003,9,N,UNKNOWN
897,897,1972,29,Y,D
915,99999,1997,19,Y,E
917,99999,1982,6,N,UNKNOWN
928,5585,2000,9,Y,C
940,940,2012,9,Y,B
949,9571,1975,8,N,UNKNOWN
955,5480,2002,11,Y,A
962,99999,1992,7,N,UNKNOWN
972,972,1978,16,N,UNKNOWN
976,8497,2010,58,Y,E
983,5145,1999,52,Y,A
990,99999,99999,99999,N,UNKNOWN
993,7639,2004,47,Y,E
1009,1009,2001,20,N,UNKNOWN
1010,1953,1985,12,Y,B
1020,2446,1989,10,N,UNKNOWN
1022,1022,2009,16,Y,E
1031,99999,2004,32,N,UNKNOWN
1040,99999,1972,48,N,UNKNOWN
1049,99999,2004,13,N,UNKNOWN
1054,99999,1997,28,N,UNKNOWN
1057,6110,2000,18,Y,E
1062,99999,2003,21,N,UNKNOWN
1074,1074,2012,18,Y,E
1075,1075,2012,4,Y,E
1079,1079,1952,29,Y,E
1091,99999,2003,8,N,UNKNOWN
1100,2757,1996,14,N,UNKNOWN
1102,8208,2009,21,Y,A
1126,1126,1963,5,N,UNKNOWN
1135,99999,1998,42,N,UNKNOWN
1136,408,1953,25,Y,E
1146,99999,99999,99999,N,UNKNOWN
1160,5662,2014,3,N,UNKNOWN
1162,1162,1973,21,Y,C
1163,8652,2006,14,Y,E
1169,99999,99999,99999,N,UNKNOWN
1170,1170,2005,14,Y,A
1181,99999,1979,1,N,UNKNOWN
1183,8852,2006,26,Y,A
1184,1184,2011,31,N,UNKNOWN
1186,6879,2007,30,Y,C
1189,1149,1976,34,Y,A
1191,4310,1943,26,Y,E
1193,1193,1974,4,Y,C
1207,1207,1952,3,N,UNKNOWN
1210,3486,2005,37,Y,E
1214,1214,2010,10,N,UNKNOWN
